         isp           t
   1.2525E+03  2.6715E+03
   2.4539E+03  1.8484E+03
   2.5927E+03  1.7087E+03
   2.6807E+03  1.6153E+03
   2.7439E+03  1.5461E+03
   0.0000E+00  2.9821E+03
   1.2451E+03  2.7595E+03
   2.4714E+03  1.9633E+03
   2.6134E+03  1.8196E+03
   2.7037E+03  1.7228E+03
   2.7685E+03  1.6507E+03
   0.0000E+00  3.0042E+03
   1.2495E+03  2.7722E+03
   2.4737E+03  1.9618E+03
   2.6155E+03  1.8178E+03
   2.7056E+03  1.7209E+03
   2.7702E+03  1.6488E+03
   0.0000E+00  3.0187E+03
   1.2524E+03  2.7804E+03
   2.4751E+03  1.9608E+03
   2.6168E+03  1.8166E+03
   2.7067E+03  1.7197E+03
   2.7713E+03  1.6476E+03
   0.0000E+00  3.0293E+03
   1.2546E+03  2.7862E+03
   2.4762E+03  1.9601E+03
   2.6177E+03  1.8158E+03
   2.7076E+03  1.7188E+03
   2.7721E+03  1.6467E+03
   0.0000E+00  3.0626E+03
   1.2434E+03  2.8523E+03
   2.4874E+03  2.0730E+03
   2.6322E+03  1.9267E+03
   2.7244E+03  1.8270E+03
   2.7906E+03  1.7525E+03
   0.0000E+00  3.0897E+03
   1.2485E+03  2.8696E+03
   2.4905E+03  2.0715E+03
   2.6350E+03  1.9244E+03
   2.7269E+03  1.8245E+03
   2.7930E+03  1.7499E+03
   0.0000E+00  3.1078E+03
   1.2519E+03  2.8809E+03
   2.4925E+03  2.0704E+03
   2.6368E+03  1.9229E+03
   2.7286E+03  1.8229E+03
   2.7945E+03  1.7483E+03
   0.0000E+00  3.1212E+03
   1.2544E+03  2.8890E+03
   2.4939E+03  2.0697E+03
   2.6380E+03  1.9218E+03
   2.7297E+03  1.8218E+03
   2.7956E+03  1.7471E+03
   0.0000E+00  3.1305E+03
   1.2401E+03  2.9322E+03
   2.4989E+03  2.1791E+03
   2.6464E+03  2.0319E+03
   2.7404E+03  1.9305E+03
   2.8080E+03  1.8541E+03
   0.0000E+00  3.1625E+03
   1.2457E+03  2.9543E+03
   2.5030E+03  2.1780E+03
   2.6501E+03  2.0294E+03
   2.7438E+03  1.9275E+03
   2.8112E+03  1.8509E+03
   0.0000E+00  3.1841E+03
   1.2495E+03  2.9689E+03
   2.5056E+03  2.1772E+03
   2.6524E+03  2.0277E+03
   2.7460E+03  1.9255E+03
   2.8133E+03  1.8488E+03
   0.0000E+00  3.2003E+03
   1.2524E+03  2.9796E+03
   2.5075E+03  2.1765E+03
   2.6541E+03  2.0265E+03
   2.7476E+03  1.9241E+03
   2.8148E+03  1.8473E+03
   0.0000E+00  3.1869E+03
   1.2355E+03  2.9996E+03
   2.5064E+03  2.2801E+03
   2.6563E+03  2.1343E+03
   2.7521E+03  2.0325E+03
   2.8211E+03  1.9551E+03
   0.0000E+00  3.2234E+03
   1.2416E+03  3.0265E+03
   2.5114E+03  2.2802E+03
   2.6609E+03  2.1321E+03
   2.7564E+03  2.0292E+03
   2.8252E+03  1.9513E+03
   0.0000E+00  3.2484E+03
   1.2458E+03  3.0446E+03
   2.5147E+03  2.2800E+03
   2.6640E+03  2.1304E+03
   2.7592E+03  2.0270E+03
   2.8278E+03  1.9489E+03
   0.0000E+00  3.2672E+03
   1.2489E+03  3.0579E+03
   2.5171E+03  2.2798E+03
   2.6661E+03  2.1292E+03
   2.7613E+03  2.0254E+03
   2.8297E+03  1.9470E+03
   0.0000E+00  3.2328E+03
   1.2302E+03  3.0552E+03
   2.5100E+03  2.3744E+03
   2.6622E+03  2.2325E+03
   2.7596E+03  2.1318E+03
   2.8299E+03  2.0544E+03
   0.0000E+00  3.2735E+03
   1.2365E+03  3.0868E+03
   2.5161E+03  2.3766E+03
   2.6679E+03  2.2312E+03
   2.7650E+03  2.1289E+03
   2.8350E+03  2.0506E+03
   0.0000E+00  3.3016E+03
   1.2409E+03  3.1082E+03
   2.5201E+03  2.3776E+03
   2.6716E+03  2.2301E+03
   2.7685E+03  2.1267E+03
   2.8384E+03  2.0479E+03
   0.0000E+00  3.3229E+03
   1.2443E+03  3.1242E+03
   2.5231E+03  2.3781E+03
   2.6743E+03  2.2291E+03
   2.7711E+03  2.1250E+03
   2.8408E+03  2.0458E+03
   0.0000E+00  3.2697E+03
   1.2242E+03  3.1002E+03
   2.5101E+03  2.4599E+03
   2.6643E+03  2.3245E+03
   2.7633E+03  2.2268E+03
   2.8349E+03  2.1508E+03
   0.0000E+00  3.3139E+03
   1.2308E+03  3.1359E+03
   2.5173E+03  2.4652E+03
   2.6711E+03  2.3251E+03
   2.7698E+03  2.2250E+03
   2.8410E+03  2.1475E+03
   0.0000E+00  3.3447E+03
   1.2354E+03  3.1604E+03
   2.5220E+03  2.4681E+03
   2.6756E+03  2.3251E+03
   2.7740E+03  2.2234E+03
   2.8451E+03  2.1450E+03
   0.0000E+00  3.3682E+03
   1.2389E+03  3.1789E+03
   2.5256E+03  2.4700E+03
   2.6789E+03  2.3248E+03
   2.7771E+03  2.2220E+03
   2.8481E+03  2.1430E+03
   0.0000E+00  3.2988E+03
   1.2179E+03  3.1359E+03
   2.5071E+03  2.5347E+03
   2.6630E+03  2.4079E+03
   2.7634E+03  2.3153E+03
   2.8360E+03  2.2422E+03
   0.0000E+00  3.3459E+03
   1.2246E+03  3.1751E+03
   2.5153E+03  2.5441E+03
   2.6708E+03  2.4117E+03
   2.7709E+03  2.3157E+03
   2.8433E+03  2.2404E+03
   0.0000E+00  3.3790E+03
   1.2293E+03  3.2024E+03
   2.5208E+03  2.5497E+03
   2.6761E+03  2.4136E+03
   2.7760E+03  2.3153E+03
   2.8482E+03  2.2387E+03
   0.0000E+00  3.4044E+03
   1.2329E+03  3.2231E+03
   2.5248E+03  2.5535E+03
   2.6800E+03  2.4146E+03
   2.7797E+03  2.3148E+03
   2.8517E+03  2.2372E+03
   0.0000E+00  3.3214E+03
   1.2113E+03  3.1636E+03
   2.5015E+03  2.5973E+03
   2.6586E+03  2.4805E+03
   2.7601E+03  2.3945E+03
   2.8338E+03  2.3260E+03
   0.0000E+00  3.3709E+03
   1.2181E+03  3.2058E+03
   2.5105E+03  2.6114E+03
   2.6675E+03  2.4885E+03
   2.7687E+03  2.3984E+03
   2.8422E+03  2.3270E+03
   0.0000E+00  3.4058E+03
   1.2229E+03  3.2353E+03
   2.5167E+03  2.6202E+03
   2.6734E+03  2.4931E+03
   2.7745E+03  2.4002E+03
   2.8478E+03  2.3269E+03
   0.0000E+00  3.4328E+03
   1.2266E+03  3.2579E+03
   2.5213E+03  2.6264E+03
   2.6779E+03  2.4960E+03
   2.7788E+03  2.4011E+03
   2.8519E+03  2.3265E+03
