           p         isp           t         pip        aeat
   7.6014E-01  2.7117E+03  2.5712E+03  2.7211E+01  5.1426E+00
   6.0812E-01  2.7863E+03  2.5192E+03  3.4014E+01  6.1065E+00
   5.0676E-01  2.8445E+03  2.4760E+03  4.0816E+01  7.0347E+00
   2.7579E+01  0.0000E+00  3.4282E+03  1.0000E+00  0.0000E+00
   1.5995E+01  1.1863E+03  3.2719E+03  1.7243E+00  1.0000E+00
   1.3514E+00  2.6170E+03  2.6530E+03  2.0408E+01  4.1218E+00
   1.0135E+00  2.7192E+03  2.5842E+03  2.7211E+01  5.1265E+00
   8.1082E-01  2.7938E+03  2.5302E+03  3.4014E+01  6.0847E+00
   6.7568E-01  2.8520E+03  2.4854E+03  4.0816E+01  7.0068E+00
   3.4474E+01  0.0000E+00  3.4576E+03  1.0000E+00  0.0000E+00
   1.9985E+01  1.1900E+03  3.2978E+03  1.7249E+00  1.0000E+00
   1.6892E+00  2.6227E+03  2.6645E+03  2.0408E+01  4.1131E+00
   1.2669E+00  2.7249E+03  2.5938E+03  2.7211E+01  5.1136E+00
   1.0135E+00  2.7995E+03  2.5382E+03  3.4014E+01  6.0673E+00
   8.4460E-01  2.8577E+03  2.4919E+03  4.0816E+01  6.9844E+00
   4.1368E+01  0.0000E+00  3.4817E+03  1.0000E+00  0.0000E+00
   2.3975E+01  1.1930E+03  3.3189E+03  1.7255E+00  1.0000E+00
   2.0271E+00  2.6273E+03  2.6736E+03  2.0408E+01  4.1058E+00
   1.5203E+00  2.7295E+03  2.6013E+03  2.7211E+01  5.1029E+00
   1.2162E+00  2.8041E+03  2.5443E+03  3.4014E+01  6.0527E+00
   1.0135E+00  2.8623E+03  2.4968E+03  4.0816E+01  6.9657E+00
   2.0684E+01  0.0000E+00  3.3959E+03  1.0000E+00  0.0000E+00
   1.2007E+01  1.1752E+03  3.2457E+03  1.7227E+00  1.0000E+00
   1.0135E+00  2.5983E+03  2.6602E+03  2.0408E+01  4.1490E+00
   7.6014E-01  2.7004E+03  2.5979E+03  2.7211E+01  5.1689E+00
   6.0812E-01  2.7751E+03  2.5496E+03  3.4014E+01  6.1447E+00
   5.0676E-01  2.8335E+03  2.5101E+03  4.0816E+01  7.0865E+00
   2.7579E+01  0.0000E+00  3.4342E+03  1.0000E+00  0.0000E+00
   1.6001E+01  1.1800E+03  3.2796E+03  1.7236E+00  1.0000E+00
   1.3514E+00  2.6060E+03  2.6778E+03  2.0408E+01  4.1395E+00
   1.0135E+00  2.7082E+03  2.6135E+03  2.7211E+01  5.1551E+00
   8.1082E-01  2.7830E+03  2.5636E+03  3.4014E+01  6.1262E+00
   6.7568E-01  2.8413E+03  2.5226E+03  4.0816E+01  7.0630E+00
   3.4474E+01  0.0000E+00  3.4640E+03  1.0000E+00  0.0000E+00
   1.9994E+01  1.1836E+03  3.3060E+03  1.7242E+00  1.0000E+00
   1.6892E+00  2.6119E+03  2.6912E+03  2.0408E+01  4.1320E+00
   1.2669E+00  2.7142E+03  2.6252E+03  2.7211E+01  5.1441E+00
   1.0135E+00  2.7889E+03  2.5740E+03  3.4014E+01  6.1115E+00
   8.4460E-01  2.8473E+03  2.5318E+03  4.0816E+01  7.0443E+00
   4.1368E+01  0.0000E+00  3.4884E+03  1.0000E+00  0.0000E+00
   2.3986E+01  1.1866E+03  3.3276E+03  1.7247E+00  1.0000E+00
   2.0271E+00  2.6167E+03  2.7018E+03  2.0408E+01  4.1257E+00
   1.5203E+00  2.7190E+03  2.6345E+03  2.7211E+01  5.1350E+00
   1.2162E+00  2.7937E+03  2.5822E+03  3.4014E+01  6.0993E+00
   1.0135E+00  2.8521E+03  2.5390E+03  4.0816E+01  7.0287E+00
