           p         isp           t         pip        aeat
   5.0676E-01  2.7606E+03  1.5166E+03  4.0816E+01  5.7973E+00
   2.7579E+01  0.0000E+00  2.9247E+03  1.0000E+00  0.0000E+00
   1.5578E+01  1.2326E+03  2.6811E+03  1.7704E+00  1.0000E+00
   1.3514E+00  2.5623E+03  1.7323E+03  2.0408E+01  3.5654E+00
   1.0135E+00  2.6500E+03  1.6392E+03  2.7211E+01  4.3494E+00
   8.1082E-01  2.7129E+03  1.5702E+03  3.4014E+01  5.0869E+00
   6.7568E-01  2.7613E+03  1.5158E+03  4.0816E+01  5.7895E+00
   3.4474E+01  0.0000E+00  2.9329E+03  1.0000E+00  0.0000E+00
   1.9459E+01  1.2343E+03  2.6851E+03  1.7716E+00  1.0000E+00
   1.6892E+00  2.5630E+03  1.7317E+03  2.0408E+01  3.5619E+00
   1.2669E+00  2.6506E+03  1.6386E+03  2.7211E+01  4.3452E+00
   1.0135E+00  2.7135E+03  1.5696E+03  3.4014E+01  5.0821E+00
   8.4460E-01  2.7618E+03  1.5152E+03  4.0816E+01  5.7841E+00
   4.1368E+01  0.0000E+00  2.9392E+03  1.0000E+00  0.0000E+00
   2.3338E+01  1.2356E+03  2.6882E+03  1.7725E+00  1.0000E+00
   2.0271E+00  2.5635E+03  1.7312E+03  2.0408E+01  3.5593E+00
   1.5203E+00  2.6510E+03  1.6381E+03  2.7211E+01  4.3421E+00
   1.2162E+00  2.7139E+03  1.5691E+03  3.4014E+01  5.0784E+00
   1.0135E+00  2.7622E+03  1.5148E+03  4.0816E+01  5.7800E+00
   2.0684E+01  0.0000E+00  3.0092E+03  1.0000E+00  0.0000E+00
   1.1747E+01  1.2313E+03  2.7826E+03  1.7608E+00  1.0000E+00
   1.0135E+00  2.5852E+03  1.8399E+03  2.0408E+01  3.6193E+00
   7.6014E-01  2.6748E+03  1.7434E+03  2.7211E+01  4.4192E+00
   6.0812E-01  2.7392E+03  1.6716E+03  3.4014E+01  5.1717E+00
   5.0676E-01  2.7887E+03  1.6148E+03  4.0816E+01  5.8887E+00
   2.7579E+01  0.0000E+00  3.0241E+03  1.0000E+00  0.0000E+00
   1.5646E+01  1.2342E+03  2.7910E+03  1.7627E+00  1.0000E+00
   1.3514E+00  2.5865E+03  1.8387E+03  2.0408E+01  3.6121E+00
   1.0135E+00  2.6760E+03  1.7422E+03  2.7211E+01  4.4104E+00
   8.1082E-01  2.7403E+03  1.6704E+03  3.4014E+01  5.1615E+00
   6.7568E-01  2.7898E+03  1.6136E+03  4.0816E+01  5.8772E+00
   3.4474E+01  0.0000E+00  3.0349E+03  1.0000E+00  0.0000E+00
   1.9542E+01  1.2363E+03  2.7971E+03  1.7641E+00  1.0000E+00
   1.6892E+00  2.5874E+03  1.8379E+03  2.0408E+01  3.6070E+00
   1.2669E+00  2.6769E+03  1.7413E+03  2.7211E+01  4.4042E+00
   1.0135E+00  2.7411E+03  1.6695E+03  3.4014E+01  5.1543E+00
   8.4460E-01  2.7906E+03  1.6128E+03  4.0816E+01  5.8690E+00
   4.1368E+01  0.0000E+00  3.0434E+03  1.0000E+00  0.0000E+00
   2.3436E+01  1.2380E+03  2.8017E+03  1.7652E+00  1.0000E+00
   2.0271E+00  2.5882E+03  1.8372E+03  2.0408E+01  3.6032E+00
   1.5203E+00  2.6775E+03  1.7407E+03  2.7211E+01  4.3995E+00
   1.2162E+00  2.7417E+03  1.6688E+03  3.4014E+01  5.1488E+00
   1.0135E+00  2.7912E+03  1.6121E+03  4.0816E+01  5.8629E+00
   2.0684E+01  0.0000E+00  3.0916E+03  1.0000E+00  0.0000E+00
   1.1796E+01  1.2302E+03  2.8770E+03  1.7535E+00  1.0000E+00
   1.0135E+00  2.6043E+03  1.9456E+03  2.0408E+01  3.6728E+00
   7.6014E-01  2.6958E+03  1.8464E+03  2.7211E+01  4.4891E+00
   6.0812E-01  2.7615E+03  1.7722E+03  3.4014E+01  5.2572E+00
   5.0676E-01  2.8121E+03  1.7133E+03  4.0816E+01  5.9892E+00
   2.7579E+01  0.0000E+00  3.1100E+03  1.0000E+00  0.0000E+00
   1.5710E+01  1.2336E+03  2.8887E+03  1.7555E+00  1.0000E+00
   1.3514E+00  2.6061E+03  1.9441E+03  2.0408E+01  3.6631E+00
   1.0135E+00  2.6974E+03  1.8448E+03  2.7211E+01  4.4770E+00
   8.1082E-01  2.7631E+03  1.7705E+03  3.4014E+01  5.2431E+00
   6.7568E-01  2.8136E+03  1.7117E+03  4.0816E+01  5.9732E+00
   3.4474E+01  0.0000E+00  3.1237E+03  1.0000E+00  0.0000E+00
   1.9621E+01  1.2361E+03  2.8970E+03  1.7569E+00  1.0000E+00
   1.6892E+00  2.6074E+03  1.9430E+03  2.0408E+01  3.6561E+00
   1.2669E+00  2.6986E+03  1.8436E+03  2.7211E+01  4.4685E+00
   1.0135E+00  2.7642E+03  1.7693E+03  3.4014E+01  5.2331E+00
   8.4460E-01  2.8147E+03  1.7105E+03  4.0816E+01  5.9618E+00
   4.1368E+01  0.0000E+00  3.1344E+03  1.0000E+00  0.0000E+00
   2.3530E+01  1.2381E+03  2.9035E+03  1.7581E+00  1.0000E+00
